date,keyword,hits
2015-03-01,ultimate frisbee,72
2015-04-01,ultimate frisbee,92
2015-05-01,ultimate frisbee,100
2015-06-01,ultimate frisbee,78
2015-07-01,ultimate frisbee,78
2015-08-01,ultimate frisbee,87
2015-09-01,ultimate frisbee,84
2015-10-01,ultimate frisbee,76
2015-11-01,ultimate frisbee,60
2015-12-01,ultimate frisbee,47
2016-01-01,ultimate frisbee,47
2016-02-01,ultimate frisbee,60
2016-03-01,ultimate frisbee,65
2016-04-01,ultimate frisbee,74
2016-05-01,ultimate frisbee,89
2016-06-01,ultimate frisbee,76
2016-07-01,ultimate frisbee,60
2016-08-01,ultimate frisbee,63
2016-09-01,ultimate frisbee,76
2016-10-01,ultimate frisbee,65
2016-11-01,ultimate frisbee,50
2016-12-01,ultimate frisbee,38
2017-01-01,ultimate frisbee,43
2017-02-01,ultimate frisbee,58
2017-03-01,ultimate frisbee,58
2017-04-01,ultimate frisbee,68
2017-05-01,ultimate frisbee,79
2017-06-01,ultimate frisbee,67
2017-07-01,ultimate frisbee,58
2017-08-01,ultimate frisbee,67
2017-09-01,ultimate frisbee,69
2017-10-01,ultimate frisbee,61
2017-11-01,ultimate frisbee,53
2017-12-01,ultimate frisbee,37
2018-01-01,ultimate frisbee,45
2018-02-01,ultimate frisbee,52
2018-03-01,ultimate frisbee,51
2018-04-01,ultimate frisbee,64
2018-05-01,ultimate frisbee,76
2018-06-01,ultimate frisbee,60
2018-07-01,ultimate frisbee,57
2018-08-01,ultimate frisbee,55
2018-09-01,ultimate frisbee,64
2018-10-01,ultimate frisbee,58
2018-11-01,ultimate frisbee,44
2018-12-01,ultimate frisbee,32
2019-01-01,ultimate frisbee,39
2019-02-01,ultimate frisbee,46
2019-03-01,ultimate frisbee,56
2019-04-01,ultimate frisbee,58
2019-05-01,ultimate frisbee,69
2019-06-01,ultimate frisbee,58
2019-07-01,ultimate frisbee,55
2019-08-01,ultimate frisbee,53
2019-09-01,ultimate frisbee,61
2019-10-01,ultimate frisbee,57
2019-11-01,ultimate frisbee,45
2019-12-01,ultimate frisbee,34
2020-01-01,ultimate frisbee,37
2020-02-01,ultimate frisbee,44
2020-03-01,ultimate frisbee,45
2020-04-01,ultimate frisbee,35
2020-05-01,ultimate frisbee,37
2020-06-01,ultimate frisbee,34
2020-07-01,ultimate frisbee,29
2020-08-01,ultimate frisbee,32
2020-09-01,ultimate frisbee,43
2020-10-01,ultimate frisbee,36
2020-11-01,ultimate frisbee,29
2020-12-01,ultimate frisbee,22
2021-01-01,ultimate frisbee,22
2021-02-01,ultimate frisbee,26
2021-03-01,ultimate frisbee,34
2021-04-01,ultimate frisbee,38
2021-05-01,ultimate frisbee,43
2021-06-01,ultimate frisbee,41
2021-07-01,ultimate frisbee,36
2021-08-01,ultimate frisbee,36
2021-09-01,ultimate frisbee,44
2021-10-01,ultimate frisbee,44
2021-11-01,ultimate frisbee,35
2021-12-01,ultimate frisbee,29
2022-01-01,ultimate frisbee,28
2022-02-01,ultimate frisbee,38
2022-03-01,ultimate frisbee,43
2022-04-01,ultimate frisbee,58
2022-05-01,ultimate frisbee,72
2022-06-01,ultimate frisbee,47
2022-07-01,ultimate frisbee,46
2022-08-01,ultimate frisbee,47
2022-09-01,ultimate frisbee,55
2022-10-01,ultimate frisbee,49
2022-11-01,ultimate frisbee,37
2022-12-01,ultimate frisbee,29
2023-01-01,ultimate frisbee,37
2023-02-01,ultimate frisbee,40
2023-03-01,ultimate frisbee,45
2023-04-01,ultimate frisbee,53
2023-05-01,ultimate frisbee,66
2023-06-01,ultimate frisbee,50
2023-07-01,ultimate frisbee,43
2023-08-01,ultimate frisbee,43
2023-09-01,ultimate frisbee,51
2023-10-01,ultimate frisbee,47
2023-11-01,ultimate frisbee,38
2023-12-01,ultimate frisbee,30
2024-01-01,ultimate frisbee,38
2024-02-01,ultimate frisbee,45
2024-03-01,ultimate frisbee,49
2024-04-01,ultimate frisbee,59
2024-05-01,ultimate frisbee,67
2024-06-01,ultimate frisbee,51
2024-07-01,ultimate frisbee,46
2024-08-01,ultimate frisbee,46
2024-09-01,ultimate frisbee,62
2024-10-01,ultimate frisbee,50
2024-11-01,ultimate frisbee,42
2024-12-01,ultimate frisbee,31
2025-01-01,ultimate frisbee,36
2025-02-01,ultimate frisbee,44
2025-03-01,ultimate frisbee,51
2025-04-01,ultimate frisbee,55
2025-05-01,ultimate frisbee,63
2025-06-01,ultimate frisbee,56
2025-07-01,ultimate frisbee,47
2025-08-01,ultimate frisbee,57
2025-09-01,ultimate frisbee,57
2025-10-01,ultimate frisbee,53
2025-11-01,ultimate frisbee,44
2025-12-01,ultimate frisbee,38
2026-01-01,ultimate frisbee,42
2026-02-01,ultimate frisbee,59
2026-03-01,ultimate frisbee,50
